Марка;Цена;Метро;Ссылка
Lexus RX, 2004;719 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2004_1991411124
Lexus NX, 2015;2 020 000  ₽;Рижская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2015_1994454918
Lexus LX, 2004;1 190 000  ₽;Жулебино;https://www.avito.ru/moskva/avtomobili/lexus_lx_2004_2008517740
Lexus GX, 2014;2 970 000  ₽;Печатники;https://www.avito.ru/moskva/avtomobili/lexus_gx_2014_1984424837
Lexus GX, 2007;1 450 000  ₽;ЗИЛ;https://www.avito.ru/moskva/avtomobili/lexus_gx_2007_2007752768
Lexus LX, 2016;4 380 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1995893053
Lexus RX, 2015;1 927 000  ₽;Саларьево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2015_2001168586
Lexus RX, 2000;315 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2000_2003068286
Lexus ES, 2018;2 750 000  ₽;Селигерская;https://www.avito.ru/moskva/avtomobili/lexus_es_2018_2006708996
Lexus RX, 2011;1 799 999  ₽;Тушинская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_2006436651
Lexus LX, 2019;6 100 000  ₽;Спортивная;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_1904229941
Lexus RX, 2009;1 499 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_rx_2009_2002799094
Lexus RX, 2017;3 899 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_rx_2017_2002810384
Lexus RX, 2012;1 650 000  ₽;Пражская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2012_1988016893
Lexus ES, 2020;4 180 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_es_2020_2003705168
Lexus LX, 2020;8 250 000  ₽;Шелепиха;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_2011193552
Lexus LS, 2005;590 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_ls_2005_1998257670
Lexus IS, 2008;650 000  ₽;Улица Скобелевская;https://www.avito.ru/moskva/avtomobili/lexus_is_2008_1973336001
Lexus GS, 2008;1 000 000  ₽;Рижская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2008_1953313567
Lexus RX, 2019;2 930 000  ₽;Студенческая;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_2004828041
Lexus GS, 2011;899 000  ₽;Славянский бульвар;https://www.avito.ru/moskva/avtomobili/lexus_gs_2011_1897617363
Lexus LX, 2020;7 990 000  ₽;Новые Черемушки;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_2002467442
Lexus NX, 2015;2 500 000  ₽;Молодежная;https://www.avito.ru/moskva/avtomobili/lexus_nx_2015_2005936255
Lexus LS, 2005;940 000  ₽;Коптево;https://www.avito.ru/moskva/avtomobili/lexus_ls_2005_134585594
Lexus LX, 2020;9 548 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1971400719
Lexus LX, 2008;1 839 999  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_lx_2008_1994007284
Lexus GX, 2011;2 100 000  ₽;Рижская;https://www.avito.ru/moskva/avtomobili/lexus_gx_2011_1994870425
